property_type,sector,society,price,price_per_sqft,area,super_built_up_area,built_up_area,carpet_area,bedRoom,bathroom,balcony,floorNum,agePossession,store room,servant room,puja room,study room,others,East,North,North-East,North-West,South,South-East,South-West,Unknown,West,furnish_type,luxury_score
flat,sector 113,smartworld one dxp,2.0,11074.0,1806.03,,1806.0,1350.0,3.0,3.0,3,12.0,unknown,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,122.0
house,sector 43,,2.1,38251.0,549.01,,549.0,,10.0,10.0,3+,5.0,new property,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,149.0
house,sector 108,sobha city,10.5,14323.0,7330.87,,7331.0,,5.0,4.0,3+,1.0,unknown,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,140.0
flat,sector 108,sobha city,3.95,16859.0,2342.96,,2343.0,2300.0,4.0,5.0,3,25.0,unknown,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,140.0
house,sector 43,,4.5,39062.0,1152.01,,1152.0,,20.0,20.0,3+,4.0,relatively new,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,153.0
house,sector 66,emaar mgf marbella,12.0,37037.0,3240.0,,3240.0,,5.0,5.0,3+,3.0,new property,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,140.0
house,sector 26,luxury dlf city floors,20.0,48889.0,4090.9,,500.0,,16.0,16.0,3+,4.0,new property,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,133.0
flat,sector 106,elan the presidential,3.9,15918.0,2450.06,,2450.0,,3.0,3.0,No,20.0,unknown,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,176.0
house,sector 43,sushant lok  builder floors,1.95,10077.0,1935.1,,1935.0,,3.0,4.0,3+,4.0,new property,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,145.0
house,sector 25,,4.45,32963.0,1350.0,,1350.0,,4.0,3.0,3+,2.0,moderately old,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,132.0
house,sector 28,,9.0,27778.0,3239.97,,3240.0,,6.0,7.0,3+,3.0,moderately old,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,146.0
house,sector 63,dlf the arbour,8.5,21519.0,3950.0,,3950.0,,4.0,4.0,3+,27.0,unknown,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,166.0
flat,sector 63,dlf the arbour,7.52,19000.0,3957.89,,3956.0,2200.0,4.0,4.0,3,15.0,unknown,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,166.0
flat,sector 63,dlf the arbour,7.8,19747.0,3949.97,,3950.0,,4.0,4.0,No,6.0,unknown,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,166.0
flat,sector 63,dlf the arbour,8.5,21519.0,3950.0,,3950.0,,4.0,4.0,No,27.0,unknown,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,166.0
flat,sector 63,dlf the arbour,7.9,20000.0,3950.0,,3950.0,2900.0,4.0,4.0,3+,34.0,under construction,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,166.0
house,sector 38,,2.1,23333.0,900.01,,900.0,,7.0,7.0,3+,3.0,relatively new,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,121.0
house,sector 50,unitech espace,7.35,41762.0,1759.97,,240.0,,4.0,4.0,3+,3.0,moderately old,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,163.0
house,sector 49,,4.45,15451.0,2880.07,,2880.0,,6.0,6.0,3,3.0,moderately old,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,148.0
house,sector 9,,3.4,12938.0,2627.92,,2628.0,,9.0,9.0,3,3.0,moderately old,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,130.0
house,sector 66,emaar mgf marbella,12.0,38095.0,3150.02,,3150.0,,5.0,6.0,3+,3.0,relatively new,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,151.0
house,sector 48,,8.4,25926.0,3239.99,,3240.0,,4.0,4.0,3,2.0,old,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,173.0
